2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
Map Academy Charter School (District),35170000,     251,  83.4,       3,   1.0,       5,   1.7,     191,  63.5, , ,     161,  53.5
Marblehead,01680000,     767,  29.4,      88,   3.4,     204,   8.0,     300,  11.7, , ,     501,  19.2
Marblehead Community Charter Public (District),04640000,     104,  54.2,      12,   6.3,      33,  17.2,      55,  28.6, , ,      56,  29.2
Marion,01690000,     159,  42.0,       1,   0.3,       6,   1.6,     105,  28.5, , ,      92,  24.3
Marlborough,01700000,"   3,572",  74.6,"   1,604",  33.9,"   2,867",  60.6,"   2,866",  60.6, , ,     765,  16.0
Marshfield,01710000,"   1,206",  32.8,     131,   3.6,     202,   5.6,     649,  17.8, , ,     726,  19.8
Martha's Vineyard,07000000,     418,  55.4,      97,  13.0,     237,  31.9,     266,  35.8, , ,     172,  22.8
Martha's Vineyard Charter Public School (District),04660000,      88,  50.0,       5,   2.8,      12,   6.8,      64,  36.4, , ,      47,  26.7
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,     323,  91.2,      65,  18.4,     109,  30.8,     293,  82.8, , ,      58,  16.4
Masconomet,07050000,     422,  27.3,       3,   0.2,      26,   1.8,     150,  10.2, , ,     316,  20.5
Mashpee,01720000,     720,  51.5,     103,   7.4,     234,  16.9,     556,  40.1, , ,     234,  16.8
Match Charter Public School (District),04690000,     972,  81.7,     221,  18.6,     568,  47.8,     840,  70.6, , ,     272,  22.9
Mattapoisett,01730000,     126,  32.6,       3,   0.8,       4,   1.0,      74,  19.4, , ,      80,  20.7
Maynard,01740000,     500,  40.3,      87,   7.1,     179,  14.7,     301,  24.7, , ,     244,  19.7
Medfield,01750000,     545,  21.8,      23,   0.9,     108,   4.4,     172,   6.9, , ,     388,  15.5
Medford,01760000,"   2,212",  52.6,     599,  14.4,"   1,286",  30.8,"   1,555",  37.3, , ,     870,  20.7
Medway,01770000,     658,  30.1,      94,   4.4,     140,   6.5,     327,  15.2, , ,     349,  16.0
Melrose,01780000,"   1,241",  32.1,     233,   6.1,     608,  15.9,     573,  15.0, , ,     685,  17.7
Mendon-Upton,07100000,     514,  24.6,      74,   3.6,     154,   7.4,     288,  13.9, , ,     231,  11.1
Methuen,01810000,"   4,436",  67.0,"   1,257",  19.4,"   2,180",  33.7,"   3,511",  54.3, , ,"   1,404",  21.2
Middleborough,01820000,"   1,427",  49.3,      70,   2.4,     142,   4.9,"   1,124",  39.2, , ,     593,  20.5
Middleton,01840000,     247,  33.7,      37,   5.1,      45,   6.2,     102,  14.0, , ,     152,  20.7
Milford,01850000,"   3,192",  70.0,"   1,588",  35.2,"   2,499",  55.4,"   2,610",  57.8, , ,     818,  17.9
Millbury,01860000,     795,  48.4,      89,   5.5,     200,  12.3,     546,  33.5, , ,     356,  21.7
Millis,01870000,     411,  34.9,      25,   2.2,     106,   9.1,     203,  17.5, , ,     246,  20.9
Milton,01890000,"   1,264",  28.6,     138,   3.2,     454,  10.4,     593,  13.6, , ,     763,  17.3
Minuteman Regional Vocational Technical,08300000,     381,  57.0,       7,   1.0,      49,   7.3,     139,  20.8, , ,     303,  45.3
Mohawk Trail,07170000,     457,  55.9,       4,   0.5,      10,   1.2,     356,  44.2, , ,     204,  24.9
Monomoy Regional School District,07120000,     837,  48.0,      86,   5.0,     225,  13.0,     649,  37.6, , ,     328,  18.8
Monson,01910000,     424,  52.2,      13,   1.6,      23,   2.9,     312,  39.0, , ,     224,  27.6
Montachusett Regional Vocational Technical,08320000,     540,  38.1,      14,   1.0,      65,   4.6,     392,  27.7, , ,     222,  15.7
Mount Greylock,07150000,     413,  35.0,      36,   3.1,      57,   4.8,     284,  24.1, , ,     194,  16.4
Mystic Valley Regional Charter (District),04700000,     713,  42.0,      56,   3.3,     873,  51.4,     519,  30.6, , ,     197,  11.6
Nahant,01960000,      52,  31.1,       1,   0.6,       3,   1.8,      28,  17.2, , ,      35,  21.0
Nantucket,01970000,     977,  56.5,     358,  20.8,     896,  52.1,     609,  35.4, , ,     317,  18.3
Narragansett,07200000,     676,  46.7,      26,   1.8,      44,   3.1,     508,  35.3, , ,     300,  20.7
Nashoba,07250000,     939,  31.2,      96,   3.2,     373,  12.5,     385,  12.9, , ,     606,  20.1
Nashoba Valley Regional Vocational Technical,08520000,     405,  52.8,       6,   0.8,      32,   4.2,     231,  30.1, , ,     259,  33.8
Natick,01980000,"   1,737",  32.4,     279,   5.3,     828,  15.6,     754,  14.2, , ,"   1,030",  19.2
Nauset,06600000,     523,  43.0,      23,   1.9,      95,   8.0,     379,  31.8, , ,     226,  18.6
Needham,01990000,"   1,479",  26.6,     144,   2.6,     686,  12.5,     388,   7.1, , ,"   1,031",  18.5
Neighborhood House Charter (District),04440000,     593,  75.4,      76,   9.7,     152,  19.3,     502,  63.9, , ,     178,  22.6
New Bedford,02010000,"  10,894",  86.3,"   3,250",  26.0,"   5,524",  44.2,"   9,863",  78.9, , ,"   3,053",  24.2
New Heights Charter School of Brockton (District),35130000,     505,  68.8,     118,  16.1,     219,  29.8,     385,  52.5, , ,      96,  13.1
New Salem-Wendell,07280000,      69,  51.5,       1,   0.7,       1,   0.7,      46,  34.3, , ,      36,  26.9
Newburyport,02040000,     656,  30.8,      62,   2.9,     148,   7.0,     273,  13.0, , ,     444,  20.9
Newton,02070000,"   4,057",  34.6,     770,   6.6,"   3,402",  29.2,"   1,589",  13.7, , ,"   2,157",  18.4
Norfolk,02080000,     281,  26.5,      45,   4.3,      69,   6.5,      81,   7.7, , ,     192,  18.1
Norfolk County Agricultural,09150000,     232,  38.9,       2,   0.3,       3,   0.5,     131,  21.9, , ,     130,  21.8
North Adams,02090000,     873,  74.9,      14,   1.2,      22,   1.9,     799,  69.5, , ,     359,  30.8
North Andover,02110000,"   1,732",  38.7,     208,   4.7,     602,  13.6,"   1,006",  22.8, , ,     960,  21.5
North Attleborough,02120000,"   1,607",  41.2,     150,   3.9,     558,  14.4,     978,  25.2, , ,     852,  21.8
North Brookfield,02150000,     247,  60.8,      14,   3.5,      13,   3.3,     190,  47.9, , ,      95,  23.4
North Middlesex,07350000,"   1,374",  46.1,     104,   3.6,     190,   6.5,     789,  27.1, , ,     775,  26.0
North Reading,02170000,     683,  28.9,      35,   1.5,      96,   4.1,     236,  10.1, , ,     492,  20.8
Northampton,02100000,"   1,111",  44.1,     125,   5.0,     302,  12.1,     793,  31.8, , ,     612,  24.3
Northampton-Smith Vocational Agricultural,04060000,     351,  59.8,      14,   2.4,      28,   4.8,     216,  36.8, , ,     207,  35.3
Northboro-Southboro,07300000,     317,  26.3,      11,   0.9,     246,  20.6,     146,  12.2, , ,     200,  16.6
Northborough,02130000,     596,  37.8,      92,   5.9,     491,  31.3,     280,  17.9, , ,     329,  20.9
Northbridge,02140000,     911,  48.9,      91,   5.0,     160,   8.7,     680,  37.0, , ,     336,  18.0
Northeast Metropolitan Regional Vocational Technical,08530000,     876,  63.4,      91,   6.6,     204,  14.8,     683,  49.5, , ,     286,  20.7
Northern Berkshire Regional Vocational Technical,08510000,     260,  50.6,       3,   0.6,       3,   0.6,     208,  40.5, , ,     104,  20.2
Norton,02180000,     954,  40.2,      57,   2.4,      70,   3.0,     572,  24.4, , ,     551,  23.2
Norwell,02190000,     452,  20.4,       9,   0.4,      60,   2.7,     124,   5.7, , ,     349,  15.7
Norwood,02200000,"   2,127",  58.3,     594,  16.6,"   1,096",  30.7,"   1,446",  40.4, , ,     885,  24.3
Oak Bluffs,02210000,     243,  60.1,      87,  21.6,     129,  32.1,     140,  34.8, , ,      92,  22.8
Old Colony Regional Vocational Technical,08550000,     200,  36.1,       1,   0.2,       1,   0.2,     117,  21.1, , ,     119,  21.5
Old Rochester,07400000,     355,  33.8,       2,   0.2,      19,   1.8,     234,  22.3, , ,     183,  17.4
Old Sturbridge Academy Charter Public School (District),35150000,     206,  57.9,      26,   7.3,      45,  12.6,     172,  48.3, , ,      59,  16.6
Orange,02230000,     381,  76.0,      13,   2.6,      21,   4.3,     330,  66.8, , ,     156,  31.1
Orleans,02240000,      80,  53.7,       6,   4.0,      11,   7.4,      59,  39.6, , ,      33,  22.1
Oxford,02260000,     811,  54.5,      73,   5.0,     113,   7.8,     618,  42.4, , ,     370,  24.9
Palmer,02270000,     699,  63.1,      54,   4.9,      84,   7.7,     595,  54.4, , ,     217,  19.6
Pathfinder Regional Vocational Technical,08600000,     344,  52.1,       1,   0.2,       4,   0.6,     258,  39.1, , ,     146,  22.1
Peabody,02290000,"   3,522",  59.9,"   1,014",  17.6,"   1,594",  27.6,"   2,616",  45.3, , ,"   1,236",  21.0
Pelham,02300000,      51,  39.8,       1,   0.8,       7,   5.5,      34,  26.6, , ,      29,  22.7
Pembroke,02310000,     777,  32.4,      35,   1.5,      84,   3.5,     409,  17.3, , ,     460,  19.2
Pentucket,07450000,     773,  34.0,      24,   1.1,      51,   2.3,     351,  15.7, , ,     536,  23.6
Petersham,02340000,      54,  37.8,       5,   3.5,       6,   4.2,      43,  30.3, , ,      15,  10.5
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,     193,  97.5,     124,  62.6,     141,  71.2,     151,  76.3, , ,      20,  10.1
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,     128,  91.4,      24,  17.1,      43,  30.7,     120,  85.7, , ,      37,  26.4
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,     153,  96.8,      18,  11.4,      38,  24.1,     151,  95.6, , ,      40,  25.3
Pioneer Charter School of Science (District),04940000,     552,  69.4,     185,  23.3,     549,  69.1,     376,  47.3, , ,      78,   9.8
Pioneer Charter School of Science II (District),35060000,     399,  64.3,     155,  25.0,     261,  42.0,     265,  42.7, , ,      61,   9.8
Pioneer Valley,07500000,     244,  41.8,       2,   0.3,       8,   1.4,     176,  30.3, , ,     115,  19.7
Pioneer Valley Chinese Immersion Charter (District),04970000,     186,  31.8,      21,   3.6,     141,  24.1,     103,  17.6, , ,      87,  14.9
Pioneer Valley Performing Arts Charter Public (District),04790000,     187,  47.1,       2,   0.5,      13,   3.3,     152,  38.3, , ,      62,  15.6
Pittsfield,02360000,"   3,552",  72.0,     550,  11.3,     737,  15.1,"   3,149",  64.6, , ,"   1,158",  23.5
Plainville,02380000,     321,  48.9,      69,  10.5,      82,  12.5,     217,  33.1, , ,     152,  23.1
Plymouth,02390000,"   3,276",  46.6,     420,   6.0,     629,   9.0,"   2,176",  31.3, , ,"   1,616",  23.0
Plympton,02400000,      93,  37.1,       8,   3.2,       8,   3.2,      55,  22.1, , ,      48,  19.1
Prospect Hill Academy Charter (District),04870000,     645,  72.5,     197,  22.1,     412,  46.3,     510,  57.3, , ,     146,  16.4
Provincetown,02420000,      76,  50.0,      16,  10.5,      24,  15.8,      62,  40.8, , ,      31,  20.4
Quabbin,07530000,     978,  45.9,      10,   0.5,      34,   1.6,     700,  33.2, , ,     492,  23.1
Quaboag Regional,07780000,     628,  55.9,      26,   2.3,      63,   5.7,     501,  44.9, , ,     272,  24.2
Quincy,02430000,"   6,506",  65.5,"   1,699",  17.4,"   4,554",  46.6,"   4,642",  47.5, , ,"   2,158",  21.7
Ralph C Mahar,07550000,     351,  67.0,       8,   1.6,      17,   3.3,     298,  58.5, , ,     149,  28.4
Randolph,02440000,"   2,257",  77.1,     627,  21.8,"   1,182",  41.1,"   1,808",  62.9, , ,     656,  22.4
Reading,02460000,"   1,114",  28.6,      86,   2.2,     189,   4.9,     419,  10.9, , ,     775,  19.9
Revere,02480000,"   5,978",  80.5,"   2,611",  36.0,"   5,452",  75.1,"   4,797",  66.1, , ,"   1,383",  18.6
Richmond,02490000,      56,  35.4,       2,   1.3,       5,   3.2,      44,  28.0, , ,      18,  11.4
Rising Tide Charter Public (District),04830000,     277,  44.9,       9,   1.5,      28,   4.5,     161,  26.1, , ,     159,  25.8
River Valley Charter (District),04820000,      68,  23.6,       0,   0.0,       1,   0.3,      24,   8.3, , ,      52,  18.1
Rochester,02500000,     143,  29.9,       5,   1.1,      12,   2.5,      83,  17.5, , ,      80,  16.7
Rockland,02510000,"   1,271",  58.1,     266,  12.3,     441,  20.4,"   1,004",  46.5, , ,     455,  20.8
Rockport,02520000,     277,  42.6,       6,   1.0,      23,   3.6,     166,  26.3, , ,     161,  24.8
Rowe,02530000,      32,  59.3,       0,   0.0,       0,   0.0,      21,  38.9, , ,      15,  27.8
Roxbury Preparatory Charter (District),04840000,     986,  87.6,     236,  21.0,     481,  42.7,     877,  77.9, , ,     233,  20.7
Salem,02580000,"   2,752",  71.0,     713,  18.6,"   1,216",  31.7,"   2,289",  59.7, , ,     975,  25.1
Salem Academy Charter (District),04850000,     305,  63.5,      29,   6.0,     146,  30.4,     260,  54.2, , ,      89,  18.5
Sandwich,02610000,     836,  38.9,      24,   1.1,      97,   4.6,     493,  23.3, , ,     450,  21.0
Saugus,02620000,"   1,686",  61.9,     406,  15.2,     921,  34.4,"   1,282",  47.9, , ,     514,  18.9
Savoy,02630000,      22,  57.9,       0,   0.0,       0,   0.0,      17,  44.7, , ,       6,  15.8
Scituate,02640000,     725,  26.2,       8,   0.3,      69,   2.5,     287,  10.5, , ,     519,  18.7
Seekonk,02650000,     759,  36.7,      75,   3.7,     189,   9.3,     365,  18.0, , ,     453,  21.9
Sharon,02660000,"   1,055",  30.0,     151,   4.4,     918,  26.5,     432,  12.5, , ,     598,  17.0
Shawsheen Valley Regional Vocational Technical,08710000,     553,  43.1,       9,   0.7,      60,   4.7,     316,  24.6, , ,     342,  26.7
Sherborn,02690000,      97,  24.3,      12,   3.0,      24,   6.0,      21,   5.3, , ,      69,  17.3
Shrewsbury,02710000,"   2,045",  34.0,     371,   6.2,"   2,359",  39.6,"   1,047",  17.6, , ,     871,  14.5
Shutesbury,02720000,      52,  41.6,       3,   2.4,       5,   4.0,      37,  29.6, , ,      23,  18.4
Silver Lake,07600000,     610,  35.9,      46,   2.8,      71,   4.3,     371,  22.3, , ,     329,  19.4
Sizer School: A North Central Charter Essential (District),04740000,     175,  62.1,       5,   1.8,      27,   9.6,     148,  52.5, , ,      59,  20.9
Somerset,02730000,     696,  42.6,      40,   2.5,      90,   5.6,     485,  29.9, , ,     352,  21.5
Somerset Berkley Regional School District,07630000,     320,  35.1,      14,   1.6,      40,   4.5,     236,  26.3, , ,     143,  15.7
Somerville,02740000,"   3,013",  60.2,"   1,216",  24.6,"   2,602",  52.5,"   2,319",  46.8, , ,"   1,008",  20.1
South Hadley,02780000,     801,  48.6,      83,   5.1,     152,   9.4,     565,  34.9, , ,     406,  24.6
South Middlesex Regional Vocational Technical,08290000,     627,  70.0,     102,  11.4,     283,  31.6,     466,  52.0, , ,     245,  27.3
South Shore Charter Public (District),04880000,     600,  56.8,     105,   9.9,     505,  47.8,     367,  34.7, , ,     232,  21.9
South Shore Regional Vocational Technical,08730000,     306,  44.7,      12,   1.8,      13,   1.9,     185,  27.0, , ,     175,  25.5
Southampton,02750000,     174,  36.5,      10,   2.1,      15,   3.2,      73,  15.4, , ,     114,  23.9
Southborough,02760000,     412,  31.1,      97,   7.4,     458,  35.0,     110,   8.4, , ,     219,  16.6
Southbridge,02770000,"   1,626",  87.1,     363,  19.9,     633,  34.6,"   1,473",  80.6, , ,     513,  27.5
Southeastern Regional Vocational Technical,08720000,     896,  55.4,      79,   4.9,     486,  30.0,     699,  43.2, , ,     251,  15.5
Southern Berkshire,07650000,     282,  46.3,      22,   3.6,      43,   7.1,     226,  37.2, , ,     108,  17.7
Southern Worcester County Regional Vocational School District,08760000,     485,  40.8,      24,   2.0,      41,   3.5,     377,  31.7, , ,     167,  14.1
Southwick-Tolland-Granville Regional School District,07660000,     577,  44.0,      46,   3.6,      97,   7.5,     428,  33.1, , ,     244,  18.6
Spencer-E Brookfield,07670000,     847,  59.6,      64,   4.6,     108,   7.7,     678,  48.5, , ,     349,  24.6
Springfield,02810000,"  21,121",  88.6,"   4,495",  19.0,"   7,050",  29.8,"  19,856",  83.9, , ,"   6,576",  27.6
Springfield International Charter (District),04410000,"   1,105",  73.1,     172,  11.4,     344,  22.8,     954,  63.1, , ,     288,  19.1
Springfield Preparatory Charter School (District),35100000,     401,  82.5,      39,   8.0,     109,  22.4,     374,  77.0, , ,      86,  17.7
Stoneham,02840000,     942,  39.6,     138,   5.9,     329,  14.1,     516,  22.1, , ,     540,  22.7
Stoughton,02850000,"   2,230",  58.5,     547,  14.6,     918,  24.4,"   1,707",  45.4, , ,     758,  19.9
Sturbridge,02870000,     308,  36.3,      36,   4.3,      61,   7.2,     188,  22.3, , ,     137,  16.2
Sturgis Charter Public (District),04890000,     275,  33.3,      16,   1.9,     154,  18.7,     167,  20.2, , ,     112,  13.6
Sudbury,02880000,     755,  29.7,      72,   2.8,     294,  11.6,     214,   8.5, , ,     547,  21.5
Sunderland,02890000,      92,  52.6,      13,   7.5,      22,  12.6,      63,  36.2, , ,      41,  23.4
Sutton,02900000,     407,  31.1,      26,   2.0,      55,   4.3,     217,  16.8, , ,     238,  18.2
Swampscott,02910000,     859,  40.4,     107,   5.1,     329,  15.7,     427,  20.4, , ,     491,  23.1
Swansea,02920000,     743,  36.9,      18,   0.9,      53,   2.7,     528,  26.5, , ,     364,  18.1
Tantasqua,07700000,     617,  34.9,      15,   0.9,      43,   2.5,     466,  26.6, , ,     248,  14.0
Taunton,02930000,"   5,692",  67.7,     930,  11.2,"   1,469",  17.7,"   4,874",  58.6, , ,"   1,797",  21.4
TEC Connections Academy Commonwealth Virtual School District,39020000,"   2,036",  68.6,     111,   3.7,     306,  10.3,"   1,768",  59.5, , ,     595,  20.0
Tewksbury,02950000,"   1,273",  38.7,     140,   4.3,     409,  12.7,     688,  21.4, , ,     682,  20.7
Tisbury,02960000,     202,  64.7,      74,  23.7,     153,  49.0,     144,  46.2, , ,      67,  21.5
Topsfield,02980000,     156,  26.0,       0,   0.0,       0,   0.0,      29,   4.8, , ,     134,  22.3
Tri-County Regional Vocational Technical,08780000,     438,  43.8,      11,   1.1,      63,   6.3,     243,  24.3, , ,     269,  26.9
Triton,07730000,     887,  42.1,      40,   1.9,      99,   4.8,     574,  27.7, , ,     471,  22.3
Truro,03000000,      41,  51.9,       2,   2.6,       2,   2.6,      33,  42.3, , ,      11,  13.9
Tyngsborough,03010000,     667,  43.4,     124,   8.2,     249,  16.4,     353,  23.3, , ,     315,  20.5
UP Academy Charter School of Dorchester (District),35050000,     597,  93.3,     258,  40.3,     348,  54.4,     539,  84.2, , ,     105,  16.4
Up-Island Regional,07740000,     170,  43.6,      16,   4.1,      32,   8.2,     105,  26.9, , ,      88,  22.6
Upper Cape Cod Regional Vocational Technical,08790000,     431,  51.4,       2,   0.2,       2,   0.2,     318,  37.9, , ,     184,  22.0
Uxbridge,03040000,     705,  42.9,      48,   3.0,      68,   4.2,     454,  28.0, , ,     356,  21.6
Veritas Preparatory Charter School (District),04980000,     633,  88.9,      57,   8.0,     172,  24.2,     597,  83.8, , ,     164,  23.0
Wachusett,07750000,"   2,002",  30.1,     139,   2.1,     365,   5.6,"   1,048",  16.0, , ,"   1,113",  16.8
Wakefield,03050000,"   1,120",  32.8,     128,   3.8,     166,   4.9,     535,  15.8, , ,     676,  19.8
Wales,03060000,      54,  57.4,       0,   0.0,       3,   3.2,      48,  51.6, , ,      20,  21.3
Walpole,03070000,"   1,073",  29.7,     134,   3.8,     513,  14.4,     508,  14.2, , ,     615,  17.1
Waltham,03080000,"   3,693",  63.1,"   1,478",  25.6,"   3,197",  55.3,"   2,810",  48.6, , ,"   1,096",  18.7
Ware,03090000,     758,  69.0,      16,   1.5,      46,   4.3,     689,  63.7, , ,     215,  19.6
Wareham,03100000,"   1,373",  70.4,      27,   1.4,      63,   3.3,"   1,206",  62.9, , ,     548,  28.1
Warwick,03120000,      15,  55.6,       0,   0.0,       0,   0.0,       8,  29.6, , ,       9,  33.3
Watertown,03140000,"   1,491",  51.5,     495,  17.4,"   1,199",  42.2,"   1,004",  35.3, , ,     546,  18.8
Wayland,03150000,     811,  29.6,      77,   2.9,     453,  16.8,     219,   8.1, , ,     546,  19.9
Webster,03160000,"   1,425",  81.3,     284,  16.6,     399,  23.3,"   1,216",  71.0, , ,     455,  26.0
Wellesley,03170000,"   1,086",  26.9,     102,   2.6,     484,  12.1,     327,   8.2, , ,     686,  17.0
Wellfleet,03180000,      32,  41.0,       2,   2.6,       3,   3.8,      30,  38.5, , ,       9,  11.5
West Boylston,03220000,     410,  44.0,      53,   5.7,     118,  12.8,     263,  28.5, , ,     175,  18.8
West Bridgewater,03230000,     486,  35.4,      48,   3.5,     131,   9.7,     319,  23.5, , ,     197,  14.4
West Springfield,03320000,"   2,687",  66.6,     644,  16.1,"   1,320",  33.0,"   2,293",  57.4, , ,     792,  19.6
Westborough,03210000,"   1,527",  39.6,     445,  11.6,"   1,267",  33.1,     667,  17.4, , ,     622,  16.1
Westfield,03250000,"   2,919",  60.2,     420,   8.8,     778,  16.3,"   2,329",  48.8, , ,"   1,219",  25.1
Westford,03260000,"   1,318",  28.4,     162,   3.5,     667,  14.6,     398,   8.7, , ,     869,  18.7
Westhampton,03270000,      41,  42.7,       0,   0.0,       0,   0.0,      22,  23.2, , ,      33,  34.4
Weston,03300000,     597,  28.7,      66,   3.2,     253,  12.3,     163,   7.9, , ,     346,  16.6
Westport,03310000,     730,  47.8,      29,   1.9,      52,   3.4,     534,  35.2, , ,     341,  22.3
Westwood,03350000,     805,  28.1,      32,   1.1,     212,   7.5,     206,   7.2, , ,     609,  21.3
Weymouth,03360000,"   3,043",  53.3,     483,   8.6,"   1,058",  18.8,"   2,243",  39.8, , ,"   1,290",  22.6
Whately,03370000,      47,  35.3,       1,   0.8,       3,   2.3,      26,  19.5, , ,      29,  21.8
Whitman-Hanson,07800000,"   1,522",  43.5,     245,   7.1,     343,   9.9,"   1,048",  30.3, , ,     669,  19.1
Whittier Regional Vocational Technical,08850000,     610,  47.5,      29,   2.3,      61,   4.7,     469,  36.5, , ,     204,  15.9
Williamsburg,03400000,      54,  48.6,       1,   0.9,       2,   1.8,      40,  36.0, , ,      20,  18.0
Wilmington,03420000,     861,  30.7,      57,   2.1,     163,   5.9,     386,  14.0, , ,     552,  19.7
Winchendon,03430000,     797,  65.8,      27,   2.3,      46,   3.9,     636,  53.5, , ,     361,  29.8
Winchester,03440000,"   1,248",  28.1,     164,   3.7,     983,  22.4,     339,   7.7, , ,     799,  18.0
Winthrop,03460000,     999,  50.6,     232,  11.8,     477,  24.3,     712,  36.3, , ,     336,  17.0
Woburn,03470000,"   2,616",  56.8,     707,  15.6,"   1,217",  26.9,"   1,831",  40.5, , ,"   1,078",  23.4
Worcester,03480000,"  20,585",  82.0,"   7,972",  32.2,"  14,466",  58.4,"  17,814",  71.9, , ,"   5,597",  22.3
Worcester Cultural Academy Charter Public School (District),35190000,     166,  85.6,      94,  48.5,      67,  34.5,     146,  75.3, , ,      29,  14.9
Worthington,03490000,      48,  63.2,       0,   0.0,       0,   0.0,      28,  36.8, , ,      26,  34.2
Wrentham,03500000,     290,  30.2,      25,   2.6,      57,   5.9,     139,  14.5, , ,     175,  18.2
State Totals,00000000," 517,093",  55.8," 127,673",  13.9," 249,477",  27.2," 385,161",  42.1, , ," 190,967",  20.6
